Date,Open,High,Low,Close,Volume
01/15/2025,"542.84","546.13","541.76","545.05","5,307,318"
01/14/2025,"537.32","537.91","531.81","535.26","8,820,003"
01/13/2025,"529.40","534.91","529.02","534.58","5,621,011"
01/10/2025,"538.71","538.75","532.00","533.89","7,935,202"
01/08/2025,"541.32","543.00","538.08","542.14","4,316,999"
01/07/2025,"549.32","549.60","539.56","541.41","5,383,235"
01/06/2025,"548.28","551.43","545.82","547.57","5,983,435"
01/03/2025,"540.19","544.88","539.20","544.40","6,419,663"
01/02/2025,"542.02","543.54","533.80","537.46","7,142,698"
12/31/2024,"542.45","543.07","537.40","538.81","6,040,750"
12/30/2024,"540.56","544.09","537.40","540.99","6,505,089"
12/27/2024,"549.37","549.62","543.20","547.08","7,077,135"
12/26/2024,"551.20","553.97","549.92","552.81","4,496,268"
12/24/2024,"548.06","552.90","547.54","552.82","3,439,250"
12/23/2024,"543.31","547.36","540.32","547.19","7,063,355"
12/20/2024,"536.61","549.54","535.85","545.04","9,389,413"
12/19/2024,"543.69","545.10","538.65","538.94","16,792,131"
12/18/2024,"555.30","557.53","538.53","539.14","24,584,930"
12/17/2024,"555.47","556.39","554.29","555.45","6,110,880"
12/16/2024,"557.13","558.80","556.42","557.79","22,846,779"
12/13/2024,"557.51","558.16","554.20","555.61","4,666,863"
12/12/2024,"557.67","558.20","555.62","555.65","4,048,602"
12/11/2024,"556.92","559.39","556.66","558.53","3,514,417"
12/10/2024,"556.58","556.88","553.57","554.33","4,110,113"
12/09/2024,"558.71","558.87","555.38","555.91","4,412,276"
12/06/2024,"558.47","559.96","558.08","558.82","5,134,880"
12/05/2024,"558.63","559.41","557.46","557.71","3,021,561"
12/04/2024,"556.83","558.88","556.17","558.64","5,490,321"
12/03/2024,"554.80","555.43","553.79","555.14","4,202,906"
12/02/2024,"554.36","555.57","553.89","555.01","5,441,011"
11/29/2024,"551.29","554.70","551.07","553.45","3,988,727"
11/27/2024,"552.04","552.38","549.11","550.55","3,312,219"
11/26/2024,"550.50","552.82","549.85","552.31","4,438,574"
11/25/2024,"551.20","552.38","547.20","549.23","4,305,001"
11/22/2024,"545.82","548.05","545.37","547.47","5,574,588"
11/21/2024,"545.58","547.07","540.04","545.64","4,530,619"
11/20/2024,"542.78","543.07","537.44","542.90","3,949,060"
11/19/2024,"537.50","543.37","536.90","542.70","6,978,373"
11/18/2024,"538.92","541.93","538.15","540.73","4,504,246"
11/15/2024,"542.13","542.57","536.75","538.50","7,360,114"
11/14/2024,"549.10","549.57","544.88","545.54","3,940,282"
11/13/2024,"549.16","550.88","546.97","549.03","3,701,570"
11/12/2024,"550.39","550.94","546.43","548.75","4,818,613"
11/11/2024,"551.43","551.73","548.85","550.40","4,893,129"
11/08/2024,"548.07","551.24","548.06","549.95","6,797,976"
11/07/2024,"545.22","548.48","545.15","547.53","6,051,276"
11/06/2024,"541.65","544.14","538.17","543.30","7,483,337"
11/05/2024,"524.72","530.17","524.48","530.10","3,300,279"
11/04/2024,"525.06","526.28","522.03","523.80","3,681,461"
11/01/2024,"525.16","529.08","524.54","524.94","6,106,942"
10/31/2024,"529.09","529.23","522.51","522.67","7,972,774"
10/30/2024,"534.35","536.20","532.59","533.16","3,067,015"
10/29/2024,"533.12","535.82","531.75","534.77","3,027,611"
10/28/2024,"535.53","535.57","533.67","533.92","3,407,971"
10/25/2024,"534.65","537.26","531.41","532.26","4,327,190"
10/24/2024,"533.17","533.18","530.04","532.47","4,477,762"
10/23/2024,"534.28","534.72","528.02","531.27","5,227,754"
10/22/2024,"534.11","537.28","533.47","536.16","3,366,595"
10/21/2024,"536.72","537.61","533.71","536.53","3,671,431"
10/18/2024,"536.90","538.10","535.56","537.36","5,070,412"
10/17/2024,"538.62","538.76","535.15","535.30","3,225,297"
10/16/2024,"532.93","535.73","532.22","535.22","3,237,216"
10/15/2024,"537.38","537.61","531.82","532.98","4,811,330"
10/14/2024,"534.25","537.98","533.97","537.07","2,638,929"
10/11/2024,"529.50","533.43","529.39","532.71","5,429,168"
10/10/2024,"529.27","530.90","528.09","529.56","3,637,633"
10/09/2024,"526.87","531.03","526.31","530.45","2,941,785"
10/08/2024,"524.32","527.38","523.50","526.85","2,626,667"
10/07/2024,"525.14","525.72","520.81","521.91","3,970,505"
10/04/2024,"526.16","527.02","522.30","526.65","5,358,175"
10/03/2024,"521.56","523.76","519.82","521.84","4,007,952"
10/02/2024,"521.85","523.85","519.58","522.83","3,270,583"
10/01/2024,"527.04","527.10","520.23","522.74","9,198,657"
09/30/2024,"524.32","527.96","522.19","527.67","8,017,349"
09/27/2024,"527.09","527.77","524.32","525.38","5,598,594"
09/26/2024,"529.67","529.92","525.49","527.70","5,273,915"
09/25/2024,"526.61","527.30","524.65","525.61","35,418,047"
09/24/2024,"526.01","526.84","523.38","526.68","4,650,608"
09/23/2024,"525.00","525.83","523.83","525.17","29,289,160"
09/20/2024,"523.51","524.92","521.12","523.88","5,612,678"
09/19/2024,"524.88","526.60","522.19","524.91","5,558,371"
09/18/2024,"518.18","522.73","515.47","515.91","6,921,278"
09/17/2024,"519.44","520.74","515.50","517.59","8,149,957"
09/16/2024,"516.34","517.59","514.65","517.35","4,256,253"
09/13/2024,"514.43","517.53","514.23","516.57","4,416,641"
09/12/2024,"510.09","514.14","508.06","513.84","4,099,538"
09/11/2024,"504.31","510.44","496.25","509.46","4,945,832"
09/10/2024,"503.95","504.71","499.50","504.30","2,975,385"
09/09/2024,"500.60","503.37","498.75","502.23","3,656,797"
09/06/2024,"505.34","506.94","495.80","496.64","7,411,439"
09/05/2024,"506.36","508.94","502.84","505.05","3,425,569"
09/04/2024,"505.68","509.53","505.02","506.30","3,601,373"
09/03/2024,"515.12","515.43","505.10","507.56","5,848,240"
08/30/2024,"515.42","518.58","512.12","518.04","5,637,725"
08/29/2024,"514.99","518.09","512.13","513.21","3,487,145"
08/28/2024,"515.80","516.23","510.16","513.13","3,940,428"
08/27/2024,"514.26","516.59","513.16","516.08","3,031,778"
08/26/2024,"517.64","518.29","513.88","515.39","3,398,640"
08/23/2024,"514.33","517.55","512.25","516.66","5,102,791"
08/22/2024,"517.05","517.63","510.10","511.13","3,677,087"
08/21/2024,"514.47","516.66","512.85","515.30","3,344,050"
08/20/2024,"513.92","515.48","512.25","513.50","3,155,981"
08/19/2024,"509.86","514.35","509.06","514.35","3,804,313"
08/16/2024,"506.84","510.11","506.65","509.45","3,449,286"
08/15/2024,"505.09","508.59","504.49","508.38","4,278,953"
08/14/2024,"498.92","500.85","496.48","499.80","3,700,503"
08/13/2024,"493.14","498.38","492.92","498.21","3,247,887"
08/12/2024,"490.94","492.35","487.98","490.07","3,578,134"
08/09/2024,"486.93","491.21","485.82","489.82","7,661,331"
08/08/2024,"481.49","488.27","479.64","487.73","4,177,234"
08/07/2024,"485.70","488.55","476.11","476.61","5,976,351"
08/06/2024,"477.39","486.86","475.94","479.94","8,255,040"
08/05/2024,"470.17","481.18","468.89","475.20","15,244,280"
08/02/2024,"492.41","493.52","485.80","489.91","8,561,166"
08/01/2024,"507.84","509.90","495.75","499.03","6,939,217"
07/31/2024,"504.48","508.65","503.31","505.93","5,367,587"
07/30/2024,"502.05","503.01","494.92","498.08","3,817,800"
07/29/2024,"501.82","502.77","498.77","500.70","3,096,178"
07/26/2024,"498.36","502.89","497.67","500.33","3,635,984"
07/25/2024,"497.55","503.14","493.92","494.78","5,646,601"
07/24/2024,"504.43","504.70","496.55","497.29","6,157,402"
07/23/2024,"509.66","511.65","508.49","508.94","3,116,045"
07/22/2024,"508.27","510.32","506.44","509.79","4,342,929"
07/19/2024,"507.64","509.20","503.56","504.55","4,039,437"
07/18/2024,"513.25","514.19","505.87","507.94","5,055,850"
07/17/2024,"513.56","515.11","511.56","511.79","4,984,306"
07/16/2024,"517.33","519.40","516.60","519.04","4,164,300"
07/15/2024,"516.58","519.12","514.34","516.11","7,771,524"
07/12/2024,"512.49","518.03","512.17","514.55","5,238,170"
07/11/2024,"516.00","516.79","510.83","511.39","5,546,308"
07/10/2024,"511.98","516.19","511.69","515.81","3,446,923"
07/09/2024,"511.21","512.01","510.54","510.89","3,145,823"
07/08/2024,"510.50","511.21","509.32","510.33","3,143,379"
07/05/2024,"507.13","510.10","506.49","509.84","3,156,922"
07/03/2024,"504.22","507.14","504.22","506.81","2,131,086"
07/02/2024,"499.69","504.61","499.61","504.53","4,210,083"
07/01/2024,"501.49","501.68","498.60","501.28","4,368,526"
06/28/2024,"502.97","505.73","499.01","500.13","5,598,571"
06/27/2024,"503.00","504.48","502.32","503.85","3,619,655"
06/26/2024,"501.47","503.77","500.89","503.07","3,202,700"
06/25/2024,"501.71","502.83","500.32","502.51","6,336,724"
06/24/2024,"502.03","504.44","500.43","500.43","7,022,844"
06/21/2024,"502.10","503.22","500.85","501.78","4,347,838"
06/20/2024,"505.14","505.74","501.19","502.88","4,810,867"
06/18/2024,"503.05","504.36","502.63","504.28","3,431,665"
06/17/2024,"498.48","504.18","497.91","502.94","4,609,539"
06/14/2024,"497.26","499.04","496.29","498.98","5,812,046"
06/13/2024,"499.30","499.45","496.06","498.58","8,808,879"
06/12/2024,"497.93","500.15","496.71","497.64","3,698,787"
06/11/2024,"490.99","493.66","489.11","493.53","4,028,423"
06/10/2024,"490.17","492.69","489.56","492.41","3,465,222"
06/07/2024,"490.55","493.53","489.54","490.80","3,063,587"
06/06/2024,"491.84","492.18","489.64","491.44","21,343,961"
06/05/2024,"487.87","491.55","486.06","491.55","3,026,146"
06/04/2024,"484.00","486.41","482.56","485.74","2,560,269"
06/03/2024,"486.30","486.41","480.40","485.15","4,211,256"
05/31/2024,"481.24","484.91","476.48","484.62","5,333,971"
05/30/2024,"482.12","482.75","479.20","480.44","3,393,589"
05/29/2024,"483.19","484.68","482.96","483.69","5,604,961"
05/28/2024,"487.40","487.65","484.53","487.12","4,034,716"
05/24/2024,"485.18","487.40","484.33","486.73","2,555,241"
05/23/2024,"489.91","489.99","482.29","483.44","3,811,307"
05/22/2024,"487.79","488.43","484.94","487.06","3,250,581"
05/21/2024,"486.53","488.58","486.35","488.48","2,453,576"
05/20/2024,"486.78","488.61","486.45","487.17","2,599,585"
05/17/2024,"486.09","486.73","484.70","486.69","3,274,035"
05/16/2024,"487.05","488.57","485.83","485.97","3,347,381"
05/15/2024,"483.34","487.23","482.74","486.90","4,399,485"
05/14/2024,"478.98","481.47","478.48","481.04","3,257,724"
05/13/2024,"480.35","480.42","477.73","478.77","3,108,442"
05/10/2024,"479.69","480.39","477.59","478.74","3,347,159"
05/09/2024,"475.59","478.15","474.94","478.15","3,486,049"
05/08/2024,"473.59","475.86","473.50","475.42","3,214,878"
05/07/2024,"475.70","476.64","474.71","475.40","3,451,302"
05/06/2024,"472.22","474.81","471.82","474.72","4,782,542"
05/03/2024,"469.76","471.00","467.44","469.98","4,586,859"
05/02/2024,"463.36","464.95","459.16","464.22","3,972,424"
05/01/2024,"460.77","467.07","459.44","459.93","6,115,377"
04/30/2024,"467.42","468.34","461.36","461.43","4,364,836"
04/29/2024,"468.84","469.42","466.21","468.84","3,253,205"
04/26/2024,"465.33","468.63","464.81","467.21","4,907,113"
04/25/2024,"458.77","463.46","457.26","462.58","4,876,228"
04/24/2024,"465.57","466.31","462.44","464.50","7,687,837"
04/23/2024,"461.18","465.13","460.67","464.84","4,257,400"
04/22/2024,"457.55","461.73","455.35","459.05","5,818,088"
04/19/2024,"458.99","459.94","453.90","455.10","9,787,454"
04/18/2024,"461.36","463.30","458.21","458.94","5,637,286"
04/17/2024,"465.11","465.24","458.73","459.99","7,156,229"
04/16/2024,"464.05","465.51","461.59","462.78","6,761,419"
04/15/2024,"473.47","473.59","462.85","463.61","9,530,044"
04/12/2024,"472.77","474.05","467.91","469.57","6,959,723"
04/11/2024,"473.98","477.43","470.67","476.06","5,109,901"
04/10/2024,"471.91","474.39","470.67","472.65","6,933,388"
04/09/2024,"478.38","478.60","472.74","477.27","5,254,191"
04/08/2024,"477.15","478.07","475.97","476.68","4,736,778"
04/05/2024,"472.85","478.33","472.42","476.49","5,588,160"
04/04/2024,"481.20","481.48","471.27","471.48","6,871,190"
04/03/2024,"475.84","478.80","475.79","477.36","6,224,812"
04/02/2024,"476.33","476.99","474.71","476.93","4,817,822"
04/01/2024,"481.44","481.96","478.83","480.07","5,733,960"
03/28/2024,"480.87","482.16","480.50","480.70","4,065,018"
